nomprimitive,value
FN14,0.1652365804092507
FN18,-18.66655005244569
FB5,False
FN5,99.84200322874926
FN10,92.96403715625648
FN7,56.05824434238176
FN11,39.324472028012416
FB4,False
FB1,False
FN1,-93.82072769633604
FN9,5.271995741472835
FB6,False
FN6,71.73547497725158
FN23,15.32599437485448
FN17,14567.093429663231
FN3,3.4046336277906253
FN8,10.253606153997508
FN4,79.49658852071899
FN16,32.882892849145804
FN2,0.272952183532551
FB2,True
FN12,71.05489949933836
FN22,473.71165227833694
FN15,-0.5285413174026989
FB3,True
FN21,204.4911203142848
FN13,3057.686381166867
FB7,True
FN19,46.79047317133311
FN20,45551.69259199089
FN14,0.1388091007372788
FN18,96.47283352403434
FB5,False
FN5,29.99660961738586
FN10,33.785323806307176
FN7,71.6768259617309
FB4,False
FN11,82.1743282466604
FN9,31.02545498435972
FN1,-95.03506135763185
FB1,True
FB6,False
FN6,15.704653231389898
FN23,18.630617436094347
FN4,30.04321037887546
FN16,317.5772572862566
FN3,12.369930989721867
FN2,4.481638366365819
FN12,57.51220357867015
FB2,True
FN22,412.10907772144697
FN21,18.79232906537198
FB3,True
FN13,8271.023895247437
FB7,False
FN20,1475.4400950623358
FN14,0.4315466747809395
FN18,49.9144037718298
FB5,False
FN5,71.50751956373102
FN10,26.632808575033952
FB4,True
FN7,71.18230476850084
FN11,60.50541246359954
FN1,-84.20640980557764
FB1,False
FB6,False
FN6,85.14044894745736
FN23,52.601075381886005
FN4,2.3437399134627723
FN2,2.615344045699539
FB2,False
FN22,14.23140873944936
FB7,False
FN19,26.23152646237244
FN14,0.3397065009083834
FN18,-37.18301761751943
FB5,False
FN5,20.86892762818057
FN10,95.93112151937426
FN11,37.90279423858781
FB1,False
FN1,-96.42805234890048
FB6,False
FN6,32.47419196360789
FN8,62.8565887418425
FN16,524.621405254102
FB2,True
FN22,86.93467880193123
FN15,0.2979279466606017
FN21,230.57148894196263
FN20,23365.286071092643
FN14,0.3890309549296741
FN18,98.06518072358816
FB5,True
FN5,58.13335653139136
FN10,11.24967800952088
FB4,True
FN7,54.40710604806818
