nomprimitive,value
FN14,0.1652365804092507
FN18,-18.66655005244569
FB5,False
FN5,99.84200322874926
FN10,92.96403715625648
FN7,56.05824434238176
FN11,39.324472028012416
FB4,False
FB1,False
FN1,-93.82072769633604
FN9,5.271995741472835
FB6,False
FN6,71.73547497725158
FN23,15.32599437485448
FN17,14567.093429663231
FN3,3.4046336277906253
FN8,10.253606153997508
FN4,79.49658852071899
FN16,32.882892849145804
FN2,0.272952183532551
FB2,True
FN12,71.05489949933836
FN22,473.71165227833694
FN15,-0.5285413174026989
FB3,True
FN21,204.4911203142848
FN13,3057.686381166867
FB7,True
FN19,46.79047317133311
FN20,45551.69259199089
FN14,0.1388091007372788
FN18,96.47283352403434
FB5,False
FN5,29.99660961738586
FN10,33.785323806307176
FB4,True
FN7,24.60996336292769
FN11,82.1743282466604
FN1,-100.76614311249996
FN9,32.263714753998165
FB6,False
FN6,84.34615428016005
FN23,27.387615045327628
FN17,21806.04831860147
FN4,30.04321037887546
FN8,68.76737539122519
FN16,8.075105103614089
FN3,17.151018780477735
FN2,2.041848214391919
FB2,True
FN12,5.061229399618384
FN22,290.778425022632
FN15,0.2391808208005885
FN21,87.29797216784071
FB3,True
FN13,2421.0922260046927
FN19,88.15849448659527
FB7,False
FN20,28659.15988690147
FN14,0.440677851487962
FN18,-41.33899748350813
FB5,False
FN5,88.28223338480295
FN7,29.472721261369184
FB4,True
FN9,34.59275215064728
FN1,-88.22937545903721
FB6,False
FN6,59.67321447121285
FN23,34.05357263165274
FN17,1670.0456785277206
FN4,0.3095266183054779
FN8,11.390957557842484
FN3,19.67708393793228
FN12,11.598018743466609
FN22,381.8137066984296
FN15,-0.590109173183593
FN13,250.369846626498
FB7,True
FN20,10276.93059604327
FN14,0.1118245652976877
FN18,-52.783747834771376
FB5,False
FN5,78.61384879676345
FN10,96.67764454977304
FN11,34.102939021348874
FB1,False
FN1,-84.82910514174345
FB6,False
FN6,38.774928234266746
FN8,28.37456020913429
FN16,667.8033405395439
FB2,True
FN22,31.215986446504168
FN15,-0.6164185478036566
FN21,209.75554058960216
FN20,30060.513902591585
FN14,0.2978421961021192
FN18,-45.63587566281237
