nomprimitive,value
FN14,0
FN18,-98
FB5,True
FN11,49
FN6,1
FN9,26
FN10,78
FN23,13
FN13,5583
FN21,182
FN7,52
FB3,True
FB6,False
FB2,True
FN17,19597
FN2,3
FB4,False
FN12,50
FN22,510
FB7,False
FN19,24
FN1,-99
FN8,34
FN20,33459
FN3,4
FN15,0
FN5,16
FN4,56
FB1,False
FN14,0
FN18,-66
FB5,False
FN6,27
FN11,55
FN9,27
FN10,98
FN23,53
FN13,2791
FN21,160
FB3,True
FB6,True
FN7,7
FB2,True
FN17,20984
FN2,14
FB4,False
FN12,58
FB7,True
FN22,19
FN1,-100
FN19,42
FN3,12
FN8,41
FN16,238
FN20,29673
FN15,0
FN4,80
FN5,2
FB1,True
FN14,0
FN18,45
FB5,False
FN6,29
FN11,24
FN9,17
FN10,18
FN23,52
FN21,111
FB6,False
FB3,False
FN7,53
FB2,True
FN17,25976
FN2,7
FB7,True
FN22,617
FN19,23
FN1,-95
FN8,16
FN4,27
FN5,1
FB1,True
FN14,0
FN18,-86
FB5,False
FN6,4
FN9,5
FN17,28399
FB7,True
FN3,16
FN16,234
FB1,False
FN14,0
FN18,-56
FB5,False
FN11,66
FN9,27
FN10,11
FN13,15
