nomprimitive,grouped_values
FB1,['False']
FB2,"['True', 'True']"
FB3,"['True', 'True', 'True']"
FB4,"['False', 'True', 'False', 'True']"
FB5,"['False', 'False', 'False', 'False']"
FB6,"['False', 'False', 'False', 'False']"
FB7,"['True', 'False', 'False', 'False']"
FN1,"['-93.82072769633604', '-100.76614311249996', '-84.20640980557764', '-99.248548096659']"
FN10,"['92.96403715625648', '33.785323806307176']"
FN11,"['39.324472028012416', '82.1743282466604']"
FN12,"['71.05489949933836', '5.061229399618384', '82.04427089491342']"
FN13,"['3057.686381166867', '2421.0922260046927', '7546.273484263386']"
FN14,"['0.1652365804092507', '0.1388091007372788', '0.440677851487962', '0.2458153652234025', '0.2978421961021192']"
FN15,"['-0.5285413174026989', '0.2391808208005885', '0.0866261172559774']"
FN16,"['32.882892849145804', '8.075105103614089', '170.88506776104816']"
FN17,"['14567.093429663231', '21806.04831860147', '42595.606777886016']"
FN18,"['-18.66655005244569', '96.47283352403434', '-41.33899748350813', '-85.43425966174327', '-45.63587566281237']"
FN19,"['46.79047317133311', '88.15849448659527', '46.37779397912372']"
FN2,"['0.272952183532551', '2.041848214391919', '2.615344045699539']"
FN20,"['45551.69259199089', '28659.15988690147', '37044.71504992197', '30060.513902591585']"
FN21,"['204.4911203142848', '87.29797216784071', '43.059076664466176']"
FN22,"['473.71165227833694', '290.778425022632', '631.8565711769741']"
FN23,"['15.32599437485448', '27.387615045327628', '23.296002404714667', '22.196275512733987']"
FN3,"['3.4046336277906253', '17.151018780477735', '4.0989981122881485']"
FN4,"['79.49658852071899', '30.04321037887546', '47.17349960229674', '96.64247850697878']"
FN5,"['99.84200322874926', '29.99660961738586', '88.28223338480295', '36.96761119078001']"
FN6,"['71.73547497725158', '84.34615428016005', '29.361011471834374']"
FN7,"['56.05824434238176', '24.60996336292769', '11.331074155871212']"
FN8,"['10.253606153997508', '68.76737539122519', '13.26935467136008', '86.76881759592693']"
FN9,"['5.271995741472835', '32.263714753998165', '38.41965860593953']"
