feature,val
FN22,30
FN22,56
FN22,30
FN22,390
FN22,56
FN22,438
FN22,250
FN22,250
FN22,438
FN22,223
FN22,30
FN22,438
FN22,30
FN22,56
FN22,223
FN22,438
FN22,223
FN22,30
FN22,164
FN22,56
FN22,438
FN22,223
FN22,438
FN22,390
FN22,250
FN22,333
FN22,634
FN22,149
FN22,438
FN22,634
FN22,223
FN22,390
FN22,223
FN22,634
FN22,223
FN22,333
FN22,438
FN22,164
FN22,250
FN22,438
FN22,634
FN22,634
FN22,30
FN22,164
FN22,250
FN22,634
FN22,438
FN22,56
FN22,149
FN22,223
FN22,634
FN22,390
FN22,390
FN22,390
FN22,438
FN22,390
FN22,438
FN22,250
FN22,634
