nomprimitive,grouped_values
FB1,"['False', 'True', 'True', 'False']"
FB2,"['True', 'True', 'True']"
FB3,"['True', 'True', 'False']"
FB4,"['False', 'False']"
FB5,"['True', 'False', 'False', 'False', 'False']"
FB6,"['False', 'True', 'False']"
FB7,"['False', 'True', 'True', 'True']"
FN1,"['-99', '-100', '-95']"
FN10,"['78', '98', '18', '11']"
FN11,"['49', '55', '24', '66']"
FN12,"['50', '58']"
FN13,"['5583', '2791', '15']"
FN14,"['0', '0', '0', '0', '0']"
FN15,"['0', '0']"
FN16,"['238', '234']"
FN17,"['19597', '20984', '25976', '28399']"
FN18,"['-98', '-66', '45', '-86', '-56']"
FN19,"['24', '42', '23']"
FN2,"['3', '14', '7']"
FN20,"['33459', '29673']"
FN21,"['182', '160', '111']"
FN22,"['510', '19', '617']"
FN23,"['13', '53', '52']"
FN3,"['4', '12', '16']"
FN4,"['56', '80', '27']"
FN5,"['16', '2', '1']"
FN6,"['1', '27', '29', '4']"
FN7,"['52', '7', '53']"
FN8,"['34', '41', '16']"
FN9,"['26', '27', '17', '5', '27']"
